"Banque","Type","Adresse"
"Crédit Mutuel","Coopérative","32 AVENUE DU GENERAL DE GAULLE ,  01500 ,  AMBERIEU EN BUGEY"
"Crédit Mutuel","Coopérative","11 PLACE VAUGELAS ,  01800 ,  MEXIMIEUX"
"Crédit Mutuel","Coopérative","1103 RUE DE GENEVE ,  01120 ,  DAGNEUX"
"Crédit Mutuel","Coopérative","434 AVENUE CHARLES DE GAULLE ,  01330 ,  VILLARS LES DOMBES"
"Crédit Mutuel","Coopérative","8 RUE GRAMMONT ,  38230 ,  PONT DE CHERUY"
"Crédit Mutuel","Coopérative","1 AVENUE ALPHONSE BAUDIN ,  01000 ,  BOURG EN BRESSE"
"Crédit Mutuel","Coopérative","1 RUE CHARLES ROBIN ,  01000 ,  BOURG EN BRESSE"
"Crédit Mutuel","Coopérative","4 COURS DE VERDUN ,  01000 ,  BOURG EN BRESSE"
"Crédit Mutuel","Coopérative","22 BOULEVARD DU MAIL ,  01300 ,  BELLEY"
"Crédit Mutuel","Coopérative","66 B RUE DE LA REPUBLIQUE ,  69330 ,  MEYZIEU"
"Crédit Mutuel","Coopérative","918 GRANDE RUE ,  01700 ,  MIRIBEL"
"Crédit Mutuel","Coopérative","112 AVENUE JEAN JAURES ,  69150 ,  DECINES CHARPIEU"
"Crédit Mutuel","Coopérative","3006 ROUTE DE STRASBOURG ,  69140 ,  RILLIEUX LA PAPE"
"Crédit Mutuel","Coopérative","5 AVENUE DU PROGRES ,  69680 ,  CHASSIEU"
"Crédit Mutuel","Coopérative","1 MONTEE DU CHATEAU ,  69720 ,  ST BONNET DE MURE"
"Crédit Mutuel","Coopérative","20 RUE EMILE ZOLA ,  69120 ,  VAULX EN VELIN"
"Crédit Mutuel","Coopérative","395 AVENUE LESDIGUIERES ,  38290 ,  LA VERPILLIERE"
"Crédit Mutuel","Coopérative","40 RUE DES SAYES ,  38080 ,  L ISLE D ABEAU"
"Crédit Mutuel","Coopérative","1 RUE DE LA REPUBLIQUE ,  01200 ,  VALSERHONE"
"Crédit Mutuel","Coopérative","5 RUE BICHAT ,  01100 ,  OYONNAX"
"Crédit Mutuel","Coopérative","3 RUE DU CRET DU BIEF ,  39170 ,  LAVANS LES ST CLAUDE"
"Crédit Mutuel","Coopérative","70 RUE DU PRE ,  39201 ,  ST CLAUDE"
"Crédit Mutuel","Coopérative","23 RUE DE GENEVE ,  01630 ,  ST GENIS POUILLY"
"Crédit Mutuel","Coopérative","RUE DES TERREAUX ,  01170 ,  GEX"
"Crédit Mutuel","Coopérative","17 GRAND RUE ,  01210 ,  FERNEY VOLTAIRE"
